CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,Europe,12209,Germany,030-0074321,030-0076545
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constituci�n 2222,M�xico D.F.,LATIN AMER.,5021,Mexico,(5) 555-4729,(5) 555-3745
ANTON,Antonio Moreno Taquer�a,Antonio Moreno,Owner,Mataderos  2312,M�xico D.F.,LATIN AMER.,5023,Mexico,(5) 555-3932,
AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,Europe,WA1 1DP,UK,(171) 555-7788,(171) 555-6750
BERGS,Berglunds snabbk�p,Christina Berglund,Order Administrator,Berguvsv�gen  8,Lule�,Europe,S-958 22,Sweden,0921-12 34 65,0921-12 34 67
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,Europe,68306,Germany,0621-08460,0621-08924
BLONP,Blondesddsl p�re et fils,Fr�d�rique Citeaux,Marketing Manager,"24, place Kl�ber",Strasbourg,Europe,67000,France,88.60.15.31,88.60.15.32
BOLID,B�lido Comidas preparadas,Mart�n Sommer,Owner,"C/ Araquil, 67",Madrid,Europe,28023,Spain,(91) 555 22 82,(91) 555 91 99
BONAP,Bon app',Laurence Lebihan,Owner,"12, rue des Bouchers",Marseille,Europe,13008,France,91.24.45.40,91.24.45.41
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,NORTH AMER,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,Europe,EC2 5NT,UK,(171) 555-1212,
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,LATIN AMER.,1010,Argentina,(1) 135-5555,(1) 135-4892
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,M�xico D.F.,LATIN AMER.,5022,Mexico,(5) 555-3392,(5) 555-7293
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,Europe,3012,Switzerland,0452-076545,
COMMI,Com�rcio Mineiro,Pedro Afonso,Sales Associate,"Av. dos Lus�adas, 23",Sao Paulo,LATIN AMER.,05432-043,Brazil,(11) 555-7647,
CONSH,Consolidated Holdings,Elizabeth Brown,Sales Representative,Berkeley Gardens 12  Brewery,London,Europe,WX1 6LT,UK,(171) 555-2282,(171) 555-9199
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Order Administrator,Walserweg 21,Aachen,Europe,52066,Germany,0241-039123,0241-059428
DUMON,Du monde entier,Janine Labrune,Owner,"67, rue des Cinquante Otages",Nantes,Europe,44000,France,40.67.88.88,40.67.89.89
EASTC,Eastern Connection,Ann Devon,Sales Agent,35 King George,London,Europe,WX3 6FW,UK,(171) 555-0297,(171) 555-3373
ERNSH,Ernst Handel,Roland Mendel,Sales Manager,Kirchgasse 6,Graz,Europe,8010,Austria,7675-3425,7675-3426
FAMIA,Familia Arquibaldo,Aria Cruz,Marketing Assistant,"Rua Or�s, 92",Sao Paulo,LATIN AMER.,05442-030,Brazil,(11) 555-9857,
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Accounting Manager,"C/ Moralzarzal, 86",Madrid,Europe,28034,Spain,(91) 555 94 44,(91) 555 55 93
FOLIG,Folies gourmandes,Martine Ranc�,Assistant Sales Agent,"184, chauss�e de Tournai",Lille,Europe,59000,France,20.16.10.16,20.16.10.17
FOLKO,Folk och f� HB,Maria Larsson,Owner,�kergatan 24,Br�cke,Europe,S-844 67,Sweden,0695-34 67 21,
FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,M�nchen,Europe,80805,Germany,089-0877310,089-0877451
FRANR,France restauration,Carine Schmitt,Marketing Manager,"54, rue Royale",Nantes,Europe,44000,France,40.32.21.21,40.32.21.20
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,Europe,10100,Italy,011-4988260,011-4988261
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,Europe,1675,Portugal,(1) 354-2534,(1) 354-2535
GALED,Galer�a del gastr�nomo,Eduardo Saavedra,Marketing Manager,"Rambla de Catalu�a, 23",Barcelona,Europe,8022,Spain,(93) 203 4560,(93) 203 4561
GODOS,Godos Cocina T�pica,Jos� Pedro Freyre,Sales Manager,"C/ Romero, 33",Sevilla,Europe,41101,Spain,(95) 555 82 82,
GOURL,Gourmet Lanchonetes,Andr� Fonseca,Sales Associate,"Av. Brasil, 442",Campinas,LATIN AMER.,04876-786,Brazil,(11) 555-9482,
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,NORTH AMER,97403,USA,(503) 555-7555,
